lesson	page	czech	english
1	15	Praha [f]	Prague
1	15	sedm	seven
1	15	šest	six
1	15	telefon [mi]	phone
1	15	telefonní	phone
1	15	tři	three
1	15	vízum [n]	visa
2	17	blízko	close
2	17	Čech, Češka [ma]	Czech (person)
2	17	daleko	far away
2	17	dědeček, děda coll. [ma]	grandfather, grandpa
2	17	divadlo [n]	theatre
2	17	dole	at the bottom
2	17	doprava	to the right
2	17	hledat	search
2	17	jet*, jedu	go (by vehicle)
2	17	jít*, jdu	go
2	17	letiště [n]	airport
2	17	lokalita [f]	location
2	17	mapa [f]	map
2	17	město [n]	city
2	17	minuta [f]	minute
2	17	místo [n]	place
2	17	muset	must
2	17	nádraží [n]	train/bus station
2	17	nahoře	at the top
2	17	náměstí [n]	square
2	17	nějaký	some
2	17	nemocnice [f]	hospital
2	17	obchod [mi]	shop
2	17	od	from
2	17	odtud	from here
2	17	pěšky	on foot
2	17	rovně	straight
2	17	slyšet	hear
2	17	stanice [f]	station
2	17	tam	there
2	17	teď	now
2	17	ukazovat	show
2	17	vlevo	on/to the left
2	17	vpravo	on/to the right
2	17	výlet [mi]	trip
2	17	zastávka [f]	stop
2	18	áčko [n]	A
2	18	doleva	to the left
2	18	dům [mi]	house
2	18	gigolo [ma]	gigolo
2	18	hm	hmm
2	18	jednička [f]	number one
2	18	kancelář [f]	office, agency
2	18	kavárna [f]	café
2	18	kolega, kolegyně [ma]	colleague
2	18	kuře [n]	chicken
2	18	moment [mi]	moment
2	18	muzeum [n]	museum
2	18	pán [ma]	man
2	18	parkoviště [n]	parking lot
2	18	počítač [mi]	computer
2	18	poznat pf.	get to know
2	18	pravda [f]	truth
2	18	průvodce, průvodkyně [ma]	guide
2	18	první	first
2	18	správný	right
2	18	syn [ma]	son
2	18	turista, turistka [ma]	tourist
2	18	už (už ne)	already, only, yet (no more)
2	18	zpátky	back
2	19	dolů	down
2	19	kolo [n]	bike
2	19	metr [mi]	meter
2	19	nahoru	up, to the top
2	19	někde	somewhere
2	19	pohoda (v pohodě) [f]	peace, good time (no problem)
2	19	směr [mi]	direction
2	19	vlak [mi]	train
2	20	cesta [f]	journey, trip, way
2	20	najít*, najdu pf.	find
2	20	odpovědět pf.	answer
2	20	ulice [f]	street
2	20	uprostřed	in the middle
2	21	adresa [f]	address
2	21	Afrika [f]	Africa
2	21	Asie [f]	Asia
2	21	bydlet	live
2	21	diskotéka [f]	disco
2	21	docela	fairly, pretty
2	21	ekologický	ecological
2	21	Evropa [f]	Europe
2	21	fajn coll.	fine
2	21	firma [f]	company
2	21	historický	historic, historical
2	21	hluk [mi]	noise
2	21	hrad [mi]	castle
2	21	chutnat	taste
2	21	jako	as, like
2	21	jmenovat se	be named
2	21	knedlík [mi]	dumpling
2	21	líbit se (Líbí se mi...)	to be liked (I like...)
2	21	mezinárodní	international
2	21	most [mi]	bridge
2	21	můj	my
2	21	někdy	sometimes
2	21	organizace [f]	organization
2	21	park [mi]	park
2	21	pivo [n]	beer
2	21	pražský	Prague
2	21	protože	because
2	21	rád	like
2	21	řeka [f]	river
2	21	sympatický	likeable
2	21	tak	so
2	21	učit	teach
2	21	všechen	all
2	21	vzadu	at the back
2	22	jméno [n]	name
2	22	napsat*, napíšu pf.	write
2	22	naučit se pf.	learn
2	22	poštovní	postal
2	22	pozitivní	positive
2	22	příjmení [n]	last namePSČ, poštovní
2	22	správně	correctly
2	22	USA pl.	USA
2	22	země [f]	1. country 2. floor, ground
2	23	čtrnáct	fourteen
2	23	čtyřicet	forty
2	23	dál, dále (Pojďte dál.)	further (Come in.)
2	23	devadesát	ninety
2	23	devatenáct	nineteen
2	23	do	to, until
2	23	dvacet	twenty
2	23	dvanáct	twelve
2	23	jedenáct	eleven
2	23	kilometr [mi]	kilometer
2	23	který	who, which
2	23	osmdesát	eighty
2	23	osmnáct	eighteen
2	23	patnáct	fifteen
2	23	sedmdesát	seventy
2	23	sedmnáct	seventeen
2	23	set G. pl., sto N. sg.	hundred
2	23	sto [n]	hundred
2	23	tisíc	thousand
2	23	třicet	thirty
2	23	třináct	thirteen
3	25	alkoholický	alcoholic
3	25	americký	American adj.
3	25	bílý	white, plain
3	25	brambor, brambora [mi]	potato
3	25	bramborový	potato
3	25	čaj [mi]	tea
3	25	část [f]	part
3	25	černý	black
3	25	česnekový	garlic
3	25	čokoládový	chocolate
3	25	dezert [mi]	dessert
3	25	dušený	stewed
3	25	džus [mi]	juice
3	25	grilovaný	grilled
3	25	guláš [mi]	goulash
3	25	hlavní	main
3	25	hovězí [n]	beef
3	25	hranolky pl.	French fries
3	25	jídlo [n]	food
3	25	kapr [ma]	carp
3	25	káva [f]	coffee
3	25	klíč [mi]	key
3	25	lístek [mi]	ticket
3	25	losos [ma]	salmon
3	25	maso [n]	meat
3	25	nápoj [mi]	drink
3	25	okurkový	cucumber
3	25	omáčka [f]	sauce
3	25	ovoce [n]	fruit
3	25	palačinka [f]	pancake
3	25	pečený	baked, roast
3	25	perlivý	sparkling
3	25	pít*, piju	drink
3	25	pití [n]	drink
3	25	polévka, polívka coll. [f]	soup
3	25	pomerančový	orange
3	25	pozvání [n]	invitation
3	25	rýže [f]	rice
3	25	salát [mi]	salad
3	25	smažený	fried
3	25	světlý	light
3	25	svíčková [f]	sirloin of beef
3	25	sýr [mi]	cheese
3	25	šlehačka [f]	whipped cream
3	25	vanilkový	vanilla
3	25	vepřový	pork
3	25	voda [f]	water
3	25	zeleninový	vegetable
3	25	zelený	green
3	25	zelí [n]	cabbage
3	25	zmrzlina [f]	ice cream
3	26	červený	red
3	26	jestli	if
3	26	kuchař, kuchařka [ma]	cook
3	26	oběd [mi]	lunch
3	26	partner, partnerka [ma]	partner
3	26	spokojený	satisfied
3	26	vařit	cook
3	26	výborný	excellent
3	26	zvědavý	curious
3	27	dát pf.	give, put
3	27	dát si pf. (Dám si...)	have (I’ll have...)
3	27	dohromady	together
3	27	dvakrát	two times
3	27	gulášový	stew
3	27	chtít*, chci	want
3	27	chuť [f]	taste, appetite
3	27	koruna [f]	crown
3	27	něco	something
3	27	třikrát	three times
3	27	zaplatit pf.	pay
3	27	zvlášť	separately
3	28	čtvrtý	fourth
3	28	objednávat	order
3	28	spropitné [n]	tip
3	28	tvůj	your
3	28	vybrat*, vyberu pf.	choose
3	29	alkohol [mi]	alcohol
3	29	čokoláda [f]	chocolate
3	29	spolužák, spolužačka [ma]	classmate
3	30	babička, babi coll. [f]	grandmother, grandma
3	30	bohužel	unfortunately
3	30	cukr [mi]	sugar
3	30	dort [mi]	cake
3	30	líto (To je mi líto.)	sorry (I am sorry.)
3	30	mléko [n]	milk
3	30	možná	maybe
3	30	nějak	somehow
3	30	odložit si pf.	take off (clothes)
3	30	odskočit si pf.	leave for a moment
3	30	pozdě	late
3	30	pozdravovat	say hello
3	30	pozvat*, pozvu pf.	invitesednout* si, sednu si pf.sit down
3	30	sestra [f]	1. sister 2. nurse
3	30	škoda [f]	pity, shame
3	30	toaleta [f]	toilet
3	30	zkontrolovat pf.	check
3	30	známý	known
3	31	ach	oh
3	31	bratr [ma]	brother
3	31	deprese [f]	depression
3	31	dieta [f]	diet
3	31	dnes, dneska	today
3	31	dovolená [f]	holiday, vacation, leave
3	31	fakt [mi]	fact
3	31	hlad [mi]	hungry
3	31	hodně	a lot
3	31	jen, jenom	only
3	31	kafe coll. [n]	coffee
3	31	možnost [f]	possibility
3	31	nálada [f]	mood
3	31	nápad [mi]	idea
3	31	opravdu	really
3	31	peníze [mi]	money
3	31	rande [n]	date
3	31	rýma [f]	cold
3	31	smůla [f]	bad luck
3	31	strach [mi]	fear
3	31	štěstí [n]	good luck, happiness
3	31	trochu	little
3	31	vůbec	at all
3	31	život [mi]	life
3	32	automechanik [ma]	car mechanic
3	32	byt [mi]	apartment
3	32	dítě [n]	child
3	32	domácnost [f]	household
3	32	fantastický	fantastic
3	32	maminka, máma coll. [f]	mom, mommy
3	32	manžel [ma]	husband
3	32	pes [ma]	dog
3	32	přítel [ma]	friend, boyfriend
3	32	rodina [f]	family
3	32	rok [n]	year
3	32	svobodný	single, not married, free
3	32	švagr [ma]	brother-in-law
3	32	tatínek, táta coll. [ma]	dad, daddy
3	32	ženatý	married (man)
4	34	dcera [f]	daughter
4	34	dívat se	watch
4	34	manželka [f]	wife
4	34	papír [mi]	paper
4	34	podobně	similarly
4	34	příbuzný	related
4	34	přítelkyně [f]	friend, girlfriend
4	34	svůj	one’s own
4	34	věk [mi]	age
4	35	datum [n]	date
4	35	formulář [mi]	form
4	35	let G. pl., rok N. sg.	years
4	35	narození [n]	birth
4	35	povolání [n]	profession
4	35	rodinný	family
4	35	stav [mi]	status
4	35	úřad [mi]	office
4	35	vdova [f]	widow
4	35	vdovec [ma]	widower
4	35	vnuk, vnučka [ma]	grandson, granddaughter
4	35	vyplnit pf.	fill in
4	36	bratranec [ma]	cousin
4	36	namalovat pf.	paint
4	36	neteř [f]	niece
4	36	rodič [ma]	parent
4	36	sestřenice [f]	cousin
4	36	slovník [mi]	dictionary
4	36	snacha [f]	daughter-in-law
4	36	strejda coll. [ma]	uncle
4	36	strýc [ma]	uncle
4	36	synovec [ma]	nephew
4	36	švagrová [f]	sister-in-law
4	36	teta [f]	aunt
4	36	tchán [ma]	father-in-law
4	36	tchyně [f]	mother-in-law
4	36	vztah [mi]	relationship
4	36	zeť [ma]	son-in-law
4	37	bohatý	rich
4	37	cizí	foreign
4	37	drahý	expensive
4	37	elegantní	elegant
4	37	hubený	thin, skinny
4	37	chudý	poor
4	37	každý	each, every
4	37	konec [mi]	end
4	37	levný	cheap
4	37	nervózní	nervous
4	37	ošklivý	ugly
4	37	pasivní	passive
4	37	pesimistický	pessimistic
4	37	škaredý	ugly
4	37	šťastný	happy
4	37	tlustý	thick, fat
4	37	vysoký	high, tall
4	37	zlý	evil
4	38	povídat si	talk, chat
4	38	skupina [f]	band, group
4	38	veselý	cheerful
4	39	cena [f]	price
4	39	dolar [mi]	dollar
4	39	elektronika [f]	electronics
4	39	euro [n]	euro
4	39	padesát	fifty
4	39	sleva [f]	discount
4	39	šedesát	sixty
5	41	až	up to, not until, when
5	41	čtvrt [f]	quarter
5	41	denní	daily
5	41	hodina [f]	hour
5	41	kdy	when
5	41	proč	why
5	41	půl [f]	half
5	41	sejít se, sejdu se pf.	meet
5	41	spěchat	rush
5	41	týden [mi]	week
5	41	učebnice [f]	textbook
5	41	začínat	begin
5	41	zapomenout, zapomenu pf.	forget
5	42	akce[f]	event, action
5	42	aktivita[f]	activity
5	42	dopoledne[n]	(late) morning
5	42	fotbal[mi]	football
5	42	hodit	se suit, be appropriate
5	42	navrhnout*, navrhnu pf.	design
5	42	noc[f]	night
5	42	odpoledne[n]	afternoon
5	42	parta[f]	bunch
5	42	party[f]	party
5	42	poledne[n]	noon
5	42	příští	next
5	42	ráno[n]	morning
5	42	schůze[f]	meeting
5	42	tenis[mi]	tennis
5	42	třeba	for example
5	42	večer[mi]	evening
5	42	zítra	tomorrow
5	43	dlouho	for a long time
5	43	hrát*, hraju	play, act
5	43	hudba[f]	music
5	43	nakupovat	shop
5	43	obědvat	have lunch
5	43	plavat, plavu	swim
5	43	přitom	at the same time, while
5	43	snídat	have breakfast
5	43	tancovat	dance
5	43	uklízet	clean up
5	43	večeře[f]	dinner
5	43	večeřet	have dinner
5	43	víkend[mi]	weekend
5	43	vstávat	get up
5	43	všední	everyday
5	44	brzy	early, soon
5	44	cvičit	exercise, practice
5	44	detektivka [f]	thriller
5	44	jóga [f]	yoga
5	44	karta [f]	card
5	44	nakonec	finally
5	44	nikdy	never
5	44	noviny	newspaper (only pl.)
5	44	obvykle	usually
5	44	opera [f]	opera
5	44	ostatní	other
5	44	pořád	all the time, still
5	44	strašně	terribly, very
5	44	televize [f]	TV
5	44	velmi	very
5	44	většinou	mostly
5	44	volejbal [mi]	volleyball
5	44	zjistit pf.	find out
5	44	zumba [f]	zumba
5	45	aerobic, aerobik [mi]	aerobics
5	45	hlavně	mainly
5	45	internet [mi]	internet
5	45	klidně	no problem, feel free
5	45	naopak	on the contrary
5	45	oba	both
5	45	odpovídat	answer
5	45	potom	then
5	45	proto	therefore
5	45	přednáška [f]	lecture
5	45	román [mi]	novel
5	45	seminář [mi]	seminar
5	45	sova [f]	owl
5	45	společný	common
5	45	spolu	together
5	45	sportovat	play sports
5	45	svatba [f]	wedding
5	45	techno [n]	techno
5	45	teplý	warm
5	45	unavený	tired
5	45	vypadat	look
5	45	žít, žiju	live
5	47	auditor, auditorka	auditor
5	47	autopůjčovna	car rental
5	47	denně	daily
5	47	dokdy	until when
5	47	chodit	go, walk
5	47	krokodýl	crocodile
5	47	měsíc	month
5	47	narozeniny	birthday (only pl.)
5	47	neděle	Sunday
5	47	odkdy	since
5	47	omlouvat	se apologize
5	47	otevřít, otevřu pf.	open
5	47	party	party
5	47	pátek	Friday
5	47	po	after
5	47	pondělí	Monday
5	47	pošta	post office
5	47	přijít, přijdu pf.	come
5	47	rezervace	reservation
5	47	školení	training
5	47	výročí	anniversary
5	47	zavřít, zavřu pf.	close
5	47	zdraví	health
5	47	zvát, zvu	invite
6	49	bolet	hurt
6	49	celý	whole
6	49	dokončit (pf.)	finish
6	49	esemeska (coll.) [f]	sms
6	49	materiál [mi]	material
6	49	minulý	last
6	49	národnost [f]	nationality
6	49	připravovat	prepare
6	49	schůzka [f]	meeting
6	49	test [mi]	test
6	49	volno [n]	time off, free
6	49	výjimečně	exceptionally
6	49	zpráva [f]	news, report
6	49	zrušit (pf.)	cancel
6	49	zub [mi]	tooth
6	50	odpočívat	relax
6	50	včera	yesterday
6	50	zelenina [f]	vegetables
6	51	Anglie [f]	England
6	51	hra [f]	game, play
6	51	chvíle, chvilka [f]	while, moment
6	51	jasně	clearly, sure
6	51	kniha [f]	book
6	51	počasí [n]	weather
6	51	pozice [f]	position
6	51	pracovitý	hardworking
6	51	středa [f]	Wednesday
6	51	vážně	seriously
6	51	venku	outside
6	51	vlastně	actually
6	52	ani (ani .. ani)	neither (neither ... nor ...)
6	52	brát*, beru	get, take
6	52	galerie [f]	gallery
6	52	hospoda [f]	pub
6	52	legrace [f]	fun
6	52	úterý [n]	Tuesday
6	52	volat	call
6	52	zavolat pf.	call
6	53	angína [f]	tonsillitis
6	53	čekat	wait, expect
6	53	domů	home
6	53	hurá	yay, hurray
6	53	normálně	normally
6	53	nutný	necessary
6	53	pětkrát	five times
6	53	právě	exactly
6	53	ztratit pf.	lose
6	53	zvonit	ring
6	54	letadlo [n]	plane
6	54	letět	fly
6	54	moře [n]	sea
6	54	naposled	last time
6	54	plakat*, pláču	cry
6	54	poprvé	for the first time
6	54	předevčírem	day before yesterday
6	54	řídit	drive
6	55	Čechy only pl.	Bohemia
6	55	čočka [f]	1. lens 2. lentils
6	55	dramatik, dramatička [ma]	playwright
6	55	Francie [f]	France
6	55	král, královna [ma]	king, queen
6	55	krátký	short
6	55	medaile [f]	medal
6	55	narodit se pf.	be born
6	55	nevěsta [f]	bride
6	55	odpověď [f]	answer
6	55	olympiáda [f]	olympics
6	55	prodaný	sold
6	55	skladatel, skladatelka [ma]	composer
6	55	slabý	weak
6	55	slovanský	Slavic, Slavonic
6	55	speciální	special
6	55	spisovatel, spisovatelka [ma]	writer
6	55	symfonie [f]	symphony
6	55	štíhlý	slim
6	55	umět	can, know
6	55	umřít*, umřu pf.	die
6	55	vlast [f]	homeland
6	55	vyhrát*, vyhraju pf.	win
6	55	zlatý	gold
7	57	bazén [mi]	swimming pool
7	57	čtvereční	square (meter)
7	57	divný	odd
7	57	družstevní	cooperative
7	57	garáž [f]	garage
7	57	inzerát [mi]	ad
7	57	kout, koutek dimin. [mi]	nook, corner
7	57	kraj [mi]	region
7	57	les [mi]	forest
7	57	luxusní	luxury
7	57	nábytek [mi]	furniture
7	57	nudný	boring
7	57	obyčejný	ordinary
7	57	patro [n]	floor
7	57	pohodlný	comfortable
7	57	pokoj [mi]	room
7	57	prodat pf.	sellpronajmout*, pronajmu rent
7	57	před	before, in front
7	57	rekonstrukce [f]	reconstruction
7	57	sídliště [n]	housing estates
7	57	spojení [n]	connection
7	57	tradiční	traditional
7	57	ubytování [n]	accommodation
7	57	vesnice [f]	village
7	57	vila [f]	villa
7	57	vlastnictví [n]	ownership
7	57	výtah [mi]	liftgarden
7	57	zařízení [n]	1. furnishings 2. device
7	57	zařízený	furnished
7	57	zařizovat	furnish, arrange
7	58	balkón [mi]	balcony
7	58	dětský	children’s
7	58	hypotéka [f]	mortgage
7	58	koupelna [f]	bathroom
7	58	kupovat	buy
7	58	ložnice [f]	bedroom
7	58	milión [mi]	million
7	58	minimálně	minimally, at least
7	58	obývák coll. [mi]	living room
7	58	pěkný	nice
7	58	počkat pf.	wait
7	58	potkat pf.	meet
7	58	potřebovat	need
7	58	prodávat	sell
7	58	předsíň [f]	hall
7	58	přesně	exactly
7	58	půda [f]	1. attic 2. land
7	58	samozřejmě	of course
7	58	sklep [mi]	cellar
7	58	starost [f]	concern
7	58	záchod [mi]	toilet
7	59	barva [f]	color
7	59	dopsat*, dopíšu pf.	finish writing
7	59	gauč [mi]	couch
7	59	hnědý	brown
7	59	koberec [mi]	carpet
7	59	křeslo [n]	chair
7	59	kuchyňská linka	kitchen cupboards
7	59	lampa [f]	lamp
7	59	lednička [f]	refrigeratorkuchyňská linka
7	59	místnost [f]	room
7	59	myčka [f]	dishwasher
7	59	obraz [mi]	picture, painting
7	59	oranžový	orange
7	59	pohovka [f]	sofa
7	59	postel [f]	bed
7	59	růžový	pink
7	59	sedačka coll. [f]	sofa
7	59	skříň [f]	wardrobe
7	59	sporák [mi]	stove
7	59	sprcha [f]	shower
7	59	stůl [mi]	table
7	59	světlemodrý	light blue
7	59	šedý	gray
7	59	tmavomodrý	dark blue
7	59	trouba [f]	oven
7	59	vana [f]	bath
7	59	vpředu	at the front
7	59	zrcadlo [n]	mirror
7	59	židle [f]	chair
7	59	žlutý	yellow
7	60	aspoň	at least
7	60	dvougenerační	two-generation
7	60	nechat pf.	leave
7	60	prázdný	empty
7	60	sehnat*, seženu pf.	get, find
7	60	smět	be allowed, may
7	60	teda	I mean
7	60	viď	right?
7	60	zatím	so far
7	60	zde	here
7	61	červen [mi]	June
7	62	březen [mi]	March
7	62	cestovat	travel
7	62	dvoulůžkový	double
7	62	hora [f]	mountain
7	62	hostel [mi]	hostel
7	62	internetový	internet, web
7	62	jaro [n]	spring
7	62	jednolůžkový	single (room)
7	62	karavan [mi]	caravan
7	62	kemp [mi]	camp site
7	62	léto [n]	summer
7	62	lyžovat	ski
7	62	málo	little
7	62	osoba [f]	person
7	62	platit	pay
7	62	podzim [mi]	autumn
7	62	poslat*, pošlu pf.	send
7	62	přijet*, přijedu pf.	arrive
7	62	příplatek [mi]	surcharge
7	62	rezervovat	book
7	62	rozdíl [mi]	difference
7	62	snídaně [f]	breakfast
7	62	stránka [f]	page, site
7	62	udělat pf.	do
7	62	volný	free
7	62	wifi [f]	wifi
7	62	zdarma	free of charge
7	62	zima [f]	cold, winter
7	63	červenec [mi]	July
7	63	desátý	tenth
7	63	duben [mi]	April
7	63	dvacátý	twentieth
7	63	květen [mi]	May
7	63	leden [mi]	January
7	63	listopad [mi]	November
7	63	pas [mi]	passport
7	63	podpis [mi]	signature
7	63	prosinec [mi]	December
7	63	recepce [f]	reception
7	63	říjen [mi]	October
7	63	sedmý	seventh
7	63	srpen [mi]	August
7	63	termín [mi]	term, date
7	63	třetí	third
7	63	ubytovací	accommodation
7	63	únor [mi]	February
7	63	září [n]	September
8	65	imperfektivní	imperfective
8	65	návštěva [f]	visit
8	65	někam	somewhere
8	65	perfektivní	perfective
8	65	pohyb [mi]	movement
8	65	sám	alone
8	65	sobota [f]	Saturday
8	66	budoucnost [f]	future
8	66	pozítří	day after tomorrow
8	67	ambasáda [f]	embassy
8	67	britský	British
8	67	dostat*, dostanu pf.	get, receive
8	67	kam	where
8	67	lingvistický	linguistic
8	67	miláček [ma]	darling
8	67	moderovat	present, moderate
8	67	ochutnat pf.	taste
8	67	pomoc [f]	help
8	67	ředitel, ředitelka [ma]	director
8	67	slíbit pf.	promise
8	67	snad	perhaps
8	67	specialita [f]	specialty
8	67	zůstat*, zůstanu pf.	stay, remain
8	68	hokej [mi]	hockey
8	68	chata [f]	cottage
8	68	Morava [f]	Moravia
8	68	nákup [mi]	shopping
8	68	použít*, použiju pf.	use
8	68	radost [f]	joy
8	68	výstava [f]	exhibition
8	69	procházka [f]	walk
8	70	dávat	give, put
8	70	egoista [ma]	egoist
8	70	Havaj [f]	Hawaii
8	70	charita [f]	charity
8	70	jachta [f]	yacht
8	70	řidič, řidička [ma]	driver
8	70	squash [mi]	squash
8	70	stejný	samecompletely
8	70	úplně	absolutely, fully, completely
8	71	civilizace [f]	civilization
8	71	doufat	hope
8	71	fotografovat	take pictures
8	71	historie [f]	history
8	71	chytat	catch
8	71	jahodový	strawberry
8	71	jezdit	go (by vehicle)
8	71	jinak	otherwise, differently
8	71	koupat* se, koupu se	bathe
8	71	květina [f]	flower, plant
8	71	lézt*, lezu	climb
8	71	ležet	lie
8	71	mňam	yummy
8	71	navštěvovat	visit
8	71	opalovat se	to suntan
8	71	pláž [f]	beach
8	71	příroda [f]	nature
8	71	ryba [f]	fish
8	71	skála [f]	rock
8	71	strom [mi]	tree
8	71	tenhle	this
8	71	vlastní	own
8	71	zámek [mi]	1. lock 2. palace
8	71	zvíře [n]	animal
9	73	břicho [n]	belly, stomach
9	73	hlava [f]	head
9	73	koleno [n]	knee
9	73	krk [mi]	neck
9	73	lékárna [f]	pharmacy
9	73	lidský	human
9	73	noha [f]	foot
9	73	nos [mi]	nose
9	73	oko [n]	eye
9	73	písnička dimin. [f]	song
9	73	prst [mi]	finger
9	73	pusa [f]	mouth, kiss
9	73	rameno [n]	shoulder
9	73	ruka [f]	hand, arm
9	73	tělo [n]	body
9	73	ucho [n]	ear
9	73	ústa only pl.	mouth
9	73	vlas [mi]	hair
9	73	záda only pl.	back
9	74	blond, blonďatý	blond
9	74	brýle only pl.	glasses
9	74	čtvrtek [mi]	Thursday
9	74	dost	enough, pretty
9	74	hippie [ma]	hippie
9	74	knír [mi]	mustache
9	74	kostel [mi]	church
9	74	kudrnatý	curly
9	74	kurs [mi]	course
9	74	modrý	blue
9	74	oblíbený	favorite
